husnegt,code,talbar,mongol_ner,esri_torol,tailbar
cashflow,CF001,geree_id,Гэрээний код,String,Түлхүүр G01..G76; шинэ гэрээнд дараагийн дугаар
cashflow,CF002,ue_torol,Үеийн төрөл,String,САР / ӨМНӨХ ШИЛЖҮҮЛСЭН / ГЭРЭЭ — coded value domain тавих; ГЭРЭЭ = мастер мөр
cashflow,CF003,jil,Жил,SmallInteger,ГЭРЭЭ мөрөнд хоосон
cashflow,CF004,sar,Сар,SmallInteger,"1–12, тэглэлгүй; ГЭРЭЭ ба ӨМНӨХ мөрөнд хоосон"
cashflow,CF005,angilal,Төслийн ангилал,String,6 утга — coded value domain тавих; бүх мөрөнд гэрээнийхээ утгыг давтана
cashflow,CF006,bagts,Багц,String,Үндсэн багц (БАГЦ-6); үргэлж = ded_bagts-ийн цэгийн өмнөх хэсэг
cashflow,CF007,ded_bagts,Дэд багц,String,Дэд багц (БАГЦ-6.2); дэд хуваарьгүй бол bagts-тай тэнцүү
cashflow,CF008,guitsetgegch,Гүйцэтгэгч,String,Бүх мөрөнд ижил; ipc.guitsetgegch үүнтэй үсэг бүрээр тэнцүү байх ёстой
cashflow,CF009,dun,Сарын дүн,Double,"Тухайн үеийн мөнгөн дүн; хоосон = мэдээлэлгүй, 0 = тэг гүйцэтгэл"
cashflow,CF010,dun_unet_tsaas,Үүнээс: үнэт цаас,Double,Сарын дүнгийн эх үүсвэрийн задаргаа
cashflow,CF011,dun_tosliin_orlogo,Үүнээс: төслийн орлого,Double,Сарын дүнгийн эх үүсвэрийн задаргаа
cashflow,CF012,dun_niislel_tosov,Үүнээс: нийслэлийн төсөв,Double,Сарын дүнгийн эх үүсвэрийн задаргаа
cashflow,CF013,dun_nzd_nooc,Үүнээс: НЗД-ын нөөц,Double,Сарын дүнгийн эх үүсвэрийн задаргаа
cashflow,CF014,ur_olgolt_dun,Урьдчилгаа олголт,Double,Тухайн сард олгосон урьдчилгааны дүн; гэрээний нийлбэр = ur_batalgaa_dun
cashflow,CF015,ur_ergen_tololt,Урьдчилгааны эргэн төлөлт,Double,Тухайн сард суутгасан эргэн төлөлт
cashflow,CF016,erh_neesen_dun,Эрх нээсэн дүн,Double,Тухайн үед нээсэн санхүүжилтийн эрх
